code_centre_interet,code_rome
1,F1623
1,F1114
1,F1704
1,F1129
1,F1709
2,D1118
2,D1232
2,D1115
2,D1419
2,D1201
2,B1612
2,B1402
2,B1302
2,B1613
2,B1813
3,B1806
3,B1812
3,B1616
3,B1505
3,B1610
4,C1203
4,C1103
4,C1205
4,C1302
4,C1502
4,E1211
4,E1301
4,E1116
4,E1203
4,E1314
5,L1512
5,L1301
5,L1204
5,L1401
5,L1305
5,N4101
5,N1205
5,N1202
5,N1301
5,N1302
6,B1803
6,B1404
6,B1805
6,B1615
6,B1612
7,F1116
7,F1109
7,F1136
7,F1126
7,F1124
8,C1112
8,C1209
8,C1401
8,C1504
8,C1102
8,K1731
8,K1308
8,K2120
8,K2202
8,K2316
9,H2910
9,H2908
9,H1203
9,H2409
9,H2709
9,D1414
9,D1410
9,D1116
9,D1418
9,D1428
10,G1602
10,G1706
10,G1413
10,G1412
10,G1228
10,J1103
10,J1506
10,J1126
10,J1404
10,J1410
11,E1314
11,E1414
11,E1104
11,E1210
11,E1113
12,G1221
12,G1106
12,G1217
12,G1613
12,G1228
12,A1436
12,A1307
12,A1409
12,A1207
12,A1412
13,G1810
13,G1803
13,G1211
13,G1612
13,G1706
14,N1104
14,N4128
14,N2102
14,N1105
14,N4119
15,B1402
15,B1304
15,B1103
15,B1613
15,B1101
15,J1135
15,J1309
15,J1409
15,J1411
15,J1109
16,L1503
16,L1512
16,L1302
16,L1206
16,L1305
16,H1504
16,H1534
16,H2206
16,H2209
16,H3402
17,G1206
17,G1409
17,G1402
17,G1211
17,G1237
18,J1131
18,J1111
18,J1508
18,J1509
18,J1311
18,G1238
18,G1207
18,G1227
18,G1108
18,G1806
19,F1201
19,F1116
19,F1111
19,F1127
19,F1202
19,D1404
19,D1243
19,D1240
19,D1427
19,D1236
20,L1523
20,L1504
20,L1401
20,L1309
20,L1204
21,N4111
21,N1110
21,N4103
21,N4131
21,N1202
22,K2140
22,K2506
22,K1504
22,K2409
22,K2120
22,N4130
22,N3101
22,N1206
22,N4107
22,N4125
23,M1880
23,M1887
23,M1608
23,M1610
23,M1217
23,K1305
23,K1507
23,K1410
23,K1419
23,K2141
24,G1810
24,G1308
24,G1304
24,G1219
24,G1229
25,B1701
25,B1607
25,B1201
25,B1102
25,B1403
25,N4106
25,N1206
25,N4203
25,N4112
25,N1116
26,N4107
26,N4301
26,N1109
26,N4125
26,N4113
27,H2606
27,H2104
27,H1226
27,H2405
27,H1231
27,M1885
27,M1815
27,M1212
27,M1817
27,M1860
28,H1237
28,H1212
28,H1403
28,H1509
28,H2701
29,D1420
29,D1208
29,D1409
29,D1217
29,D1431
30,M1205
30,M1846
30,M1408
30,M1509
30,M1421
30,C1110
30,C1107
30,C1201
30,C1204
30,C1502
